system_id,latitude,longitude,elevation_m,azimuth,tilt,dc_capacity_kW,mean_power_generation_kW,performance_ratio
10000,44.914573,-93.162525,288.7918701,180.0,33.0,5.85,0.9402185859438008,0.16072112580235912
10001,39.483937,-76.301594,51.22254181,180.0,20.0,3.36,0.9209258357638955,0.2740850701678261
10003,40.346434,-76.423645,145.1507721,180.0,35.0,11.04,3.251636659691928,0.29453230613151526
10005,33.198982,-97.150581,207.6394348,180.0,19.0,15.665,3.438071516943988,0.2194747217966159
10010,45.136089,-88.010933,202.5121918,180.0,35.0,12.192,3.8444555169639836,0.3153260758664685
10012,40.889911,-75.1112,190.1212769,180.0,0.0,7.524,1.9874093157019836,0.26414265227299094
10013,37.231378,-121.874925,66.50632477,180.0,26.0,4.56,1.4251209153368767,0.3125265165212449
10014,37.358162,-119.679978,761.8326416,180.0,27.5,6.0,2.4487159914053924,0.4081193319008987
10017,40.006855,-75.802725,169.7474365,180.0,30.0,7.2,1.7525078082965737,0.243403862263413
10018,37.777208,-121.955399,191.3871155,180.0,1.0,5.04,2.1358200640264733,0.42377382222747484
10019,39.798127,-105.226237,1803.02417,180.0,1.0,7.82,2.439424450598561,0.31194686069035304
10020,33.754828,-117.769851,88.27826691,135.0,23.0,6.525,1.7690150774781657,0.27111342183573417
10021,40.706246,-111.85657,1340.021851,180.0,26.1,6.72,2.161246264645241,0.32161402747697043
10022,33.739571,-117.78618,47.76081467,135.0,23.0,6.525,1.7700608873927852,0.27127369921728506
10024,30.216108,-97.85828,236.9563904,135.0,32.0,7.7,1.83958873302458,0.23890762766552986
10025,43.160857,-78.68756,194.4611359,180.0,35.0,17.625,4.743389977289589,0.26912850934976396
10026,40.543354,-74.3587,36.85355377,180.0,25.0,8.28,2.011468592871142,0.2429309894771911
10027,38.819863,-77.05854,9.946813583,90.0,42.0,4.7,0.9136184170360451,0.1943868972417117
10028,19.70932,-155.096467,82.58058929,225.0,0.0,3.84,0.9561051485187843,0.24898571576010006
10029,40.206057,-75.66107,105.7484665,180.0,30.0,11.04,2.747924109702745,0.24890616935713272
10030,42.583436,-71.0982,40.09022141,225.0,30.0,4.6,0.9035971274724182,0.19643415814617787
10031,39.440152,-84.22175,234.6027832,180.0,30.0,4.8,0.9860989366697911,0.20543727847287316
10032,33.053092,-117.26855,107.1267166,270.0,4.0,3.24,1.0497909109731887,0.3240095404238236
10033,33.213309,-117.21474,163.9241791,180.0,22.0,4.41,1.5801705468288687,0.35831531674124006
10034,42.907903,-76.301451,335.4976501,180.0,18.0,4.41,1.0668203004651142,0.24190936518483314
10035,37.34901,-122.262354,379.9378967,180.0,21.0,9.408,3.6410653193609024,0.3870179973810483
10036,39.317735,-84.24728,215.3039398,180.0,33.0,1.92,0.23843803321787133,0.12418647563430799
