YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2024,1,1,3.1798,9.92,13.66,2.34,0.0,46.39
2024,1,2,2.8975,9.63,29.67,2.34,0.0,33.99
2024,1,3,2.2162,7.38,80.5,3.11,2.86,50.44
2024,1,4,3.227,6.96,18.94,5.01,0.03,48.16
2024,1,5,3.1104,6.67,36.24,4.02,0.16,39.13
2024,1,6,2.1982,5.74,71.59,4.33,0.01,31.88
2024,1,7,3.4428,5.31,35.36,7.88,0.11,36.0
2024,1,8,3.5731,3.15,11.92,4.25,0.0,29.74
2024,1,9,3.199,4.48,46.65,1.26,0.0,30.21
2024,1,10,3.1056,4.8,22.33,3.42,0.0,48.19
2024,1,11,3.523,4.53,40.94,4.99,0.36,41.92
2024,1,12,2.4602,4.46,46.18,2.05,0.0,27.98
2024,1,13,3.4406,5.9,40.58,1.5,0.0,34.25
2024,1,14,3.521,7.74,34.44,1.63,0.0,43.63
2024,1,15,2.4871,9.04,48.1,1.46,0.0,46.19
2024,1,16,3.6655,8.48,25.25,1.71,0.0,35.64
2024,1,17,2.5711,10.22,89.0,2.08,0.0,52.47
2024,1,18,3.4807,10.21,52.58,1.92,0.0,53.71
2024,1,19,2.4401,10.76,97.45,1.77,0.0,38.6
2024,1,20,1.8893,12.67,99.03,2.29,0.1,43.64
2024,1,21,1.4866,9.43,97.39,2.34,2.68,74.35
2024,1,22,1.0507,8.56,99.59,3.05,4.82,87.5
2024,1,23,2.0249,10.02,67.29,1.87,1.07,74.09
2024,1,24,2.772,10.27,64.12,1.73,0.03,53.68
2024,1,25,3.1486,10.69,43.81,2.26,0.16,53.75
2024,1,26,3.93,8.95,25.52,3.69,0.0,42.15
2024,1,27,3.9643,9.7,35.93,3.56,0.0,41.07
2024,1,28,3.4399,12.29,92.74,4.59,0.0,40.79
2024,1,29,3.8004,14.21,25.36,3.39,0.0,39.2
2024,1,30,4.0678,14.62,6.38,2.13,0.0,39.35
2024,1,31,2.743,13.78,62.86,2.81,0.0,42.81
2024,2,1,1.0277,9.59,94.82,3.81,5.31,73.39
2024,2,2,2.6342,8.25,58.46,3.96,0.46,68.31
2024,2,3,4.3234,7.99,27.47,2.62,0.0,57.41
