YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,CLOUD_AMT,WS10M,PRECTOTCORR,RH2M
2019,1,1,2.0796,20.19,80.18,3.44,0.99,96.12
2019,1,2,1.6958,19.01,95.48,3.08,1.64,95.37
2019,1,3,2.4324,20.16,96.38,3.97,7.11,95.29
2019,1,4,1.8211,17.39,65.35,8.34,22.5,81.83
2019,1,5,3.7932,12.68,24.65,5.52,0.01,80.94
2019,1,6,4.056,14.35,0.38,1.96,0.04,68.61
2019,1,7,4.0339,15.12,22.13,2.63,0.01,81.98
2019,1,8,3.0902,16.98,71.29,2.88,0.5,89.98
2019,1,9,4.2211,13.18,33.37,6.88,0.13,75.1
2019,1,10,4.2742,9.62,0.36,6.41,0.0,72.52
2019,1,11,4.1282,10.42,6.87,4.55,0.0,77.37
2019,1,12,1.879,15.54,89.12,5.88,2.16,93.6
2019,1,13,3.6014,16.12,43.24,5.73,3.2,86.3
2019,1,14,1.285,9.59,67.65,5.27,0.04,87.49
2019,1,15,3.0667,8.83,72.44,4.83,0.07,81.5
2019,1,16,4.1294,10.27,32.44,2.42,0.0,71.67
2019,1,17,3.8237,13.25,42.52,2.15,0.07,72.06
2019,1,18,2.1802,17.05,96.41,3.73,1.57,91.98
2019,1,19,2.1478,18.04,92.77,7.75,11.52,92.48
2019,1,20,2.7422,7.98,60.52,8.79,0.24,80.05
2019,1,21,4.3747,7.52,25.75,5.57,0.0,77.36
2019,1,22,2.8234,13.01,48.28,7.8,0.07,88.28
2019,1,23,2.5702,18.2,79.24,10.63,22.67,88.87
2019,1,24,2.0549,10.47,71.3,6.36,8.96,81.18
2019,1,25,4.4755,9.12,34.42,5.61,0.0,72.08
2019,1,26,3.9451,9.34,59.26,4.67,0.0,69.97
2019,1,27,1.399,9.57,85.65,4.51,0.0,74.84
2019,1,28,4.452,11.23,13.62,2.83,0.0,71.2
2019,1,29,1.5007,11.18,71.55,6.7,15.75,81.04
2019,1,30,3.4015,6.21,69.69,6.24,0.0,69.39
2019,1,31,4.3507,9.35,37.42,5.37,0.0,69.54
2019,2,1,1.8034,10.62,98.83,4.42,9.47,90.54
2019,2,2,1.8146,15.1,96.19,3.33,2.8,93.74
2019,2,3,1.7554,16.55,80.34,2.42,0.61,91.03
2019,2,4,2.3995,15.79,81.88,2.98,3.3,94.35
2019,2,5,3.4862,16.32,50.73,2.63,0.37,93.25
2019,2,6,3.3305,16.94,86.5,3.25,0.06,94.4
2019,2,7,4.3406,17.99,45.28,3.89,0.21,95.05
2019,2,8,2.4718,16.12,90.97,6.39,0.36,82.82
2019,2,9,3.7747,13.18,80.62,7.0,0.02,73.38
2019,2,10,2.6772,15.72,85.37,5.52,0.29,89.29
2019,2,11,3.137,17.77,74.54,4.69,0.97,94.86
2019,2,12,2.8927,18.21,90.82,6.11,4.31,91.78
2019,2,13,5.3674,12.14,42.38,6.45,0.35,69.4
2019,2,14,3.8381,12.6,69.53,3.89,0.0,73.49
2019,2,15,2.6866,16.44,88.97,3.79,0.02,87.69
2019,2,16,2.6285,17.97,94.34,4.17,0.45,96.67
2019,2,17,2.8591,19.33,79.25,5.05,1.31,96.21
2019,2,18,1.2914,17.73,95.11,6.08,1.74,89.28
2019,2,19,2.2399,17.37,94.52,6.49,1.0,84.83
2019,2,20,1.7784,18.62,96.39,5.83,0.6,94.66
2019,2,21,3.007,19.99,76.64,4.08,0.83,94.62
2019,2,22,2.7091,19.97,83.42,3.82,0.69,94.23
2019,2,23,4.9855,20.4,45.19,4.75,0.76,93.51
2019,2,24,4.6289,18.63,75.5,6.51,1.43,80.71
2019,2,25,5.7156,13.76,40.5,6.36,0.0,71.15
2019,2,26,2.5699,16.84,93.34,4.81,2.95,90.5
2019,2,27,2.5092,18.14,63.71,2.02,35.5,92.06
2019,2,28,2.1012,18.33,91.4,2.96,1.41,95.06
2019,3,1,2.5586,19.25,92.25,3.29,19.49,95.89
2019,3,2,3.1985,19.79,94.72,2.54,7.29,94.77
2019,3,3,3.12,20.09,95.96,5.19,8.84,93.0
2019,3,4,3.4022,11.2,73.35,6.77,4.05,81.42
2019,3,5,6.1344,8.82,32.99,7.0,13.05,75.22
2019,3,6,6.4788,8.37,12.13,5.47,0.0,63.77
2019,3,7,6.246,12.08,44.89,3.1,0.0,59.81
2019,3,8,5.2896,15.8,80.98,4.07,0.01,81.66
2019,3,9,4.8514,17.82,68.79,4.64,0.3,92.53
2019,3,10,3.7284,19.01,73.19,3.56,1.99,96.28
2019,3,11,2.9758,19.6,96.73,2.51,5.1,94.69
2019,3,12,5.9285,18.26,56.55,4.28,0.08,82.46
2019,3,13,3.6547,18.98,92.46,6.86,0.02,86.04
2019,3,14,5.2807,20.02,60.54,6.94,0.15,91.43
2019,3,15,3.2386,20.16,91.98,5.14,2.13,91.61
2019,3,16,2.3844,14.37,98.72,6.26,1.11,76.05
2019,3,17,4.0555,13.8,99.18,4.38,0.93,71.32
2019,3,18,3.9456,14.2,89.46,5.62,0.0,72.83
2019,3,19,4.9824,13.72,70.33,6.21,0.0,74.3
2019,3,20,6.6833,14.55,0.66,4.32,0.0,66.13
2019,3,21,6.9288,15.51,0.49,6.08,0.0,73.09
2019,3,22,7.0241,15.03,0.13,4.72,0.01,74.57
2019,3,23,6.9622,15.62,32.46,2.94,0.06,73.08
2019,3,24,6.3062,17.33,30.08,2.53,0.0,72.74
2019,3,25,5.5843,18.74,39.51,3.44,0.43,83.32
2019,3,26,5.3969,17.28,25.83,6.03,0.6,81.67
2019,3,27,7.1093,15.32,3.92,6.86,0.12,75.02
2019,3,28,7.015,15.93,8.51,3.67,0.0,74.98
2019,3,29,6.7685,17.92,50.36,3.57,0.0,80.25
2019,3,30,6.8594,19.18,36.26,3.87,0.0,81.7
2019,3,31,3.4637,16.62,86.22,6.29,1.94,84.8
2019,4,1,5.8109,13.1,73.36,3.78,3.04,81.32
2019,4,2,6.9317,16.28,34.72,4.2,11.19,71.15
2019,4,3,6.618,16.78,56.19,3.66,0.01,76.17
2019,4,4,3.8597,18.47,71.94,5.93,4.55,88.02
2019,4,5,2.1766,20.67,99.08,3.89,14.84,94.05
2019,4,6,4.5581,20.56,86.24,3.2,2.72,95.08
2019,4,7,4.3994,20.26,89.16,3.85,0.99,94.77
2019,4,8,1.8389,21.08,98.31,5.57,4.46,95.59
2019,4,9,4.3658,20.55,71.99,5.61,4.28,89.97
2019,4,10,7.0085,21.99,11.05,2.88,0.13,81.49
2019,4,11,7.1189,21.43,10.61,4.21,0.09,88.3
2019,4,12,5.5118,21.64,89.89,3.33,0.11,88.67
2019,4,13,5.7713,22.4,50.7,5.62,0.92,91.87
2019,4,14,3.3113,20.91,52.51,9.39,25.51,87.29
2019,4,15,7.9956,16.47,1.52,5.93,0.0,70.01
2019,4,16,7.7419,18.44,22.7,2.78,0.02,64.91
2019,4,17,6.2885,20.5,82.07,4.23,0.04,82.78
2019,4,18,5.9844,21.92,76.72,7.08,1.48,86.93
2019,4,19,5.6155,19.13,74.54,10.63,19.37,79.07
2019,4,20,7.7028,16.86,13.23,7.9,0.07,64.12
2019,4,21,8.1749,17.78,0.28,3.26,0.0,58.33
2019,4,22,8.041,19.4,7.99,2.85,0.0,66.01
2019,4,23,7.4974,20.12,44.96,2.44,0.0,70.81
2019,4,24,4.0507,20.84,91.25,2.23,0.0,79.48
2019,4,25,4.639,21.11,90.95,5.37,12.09,91.43
2019,4,26,7.1002,21.34,30.89,6.19,2.73,78.89
2019,4,27,8.2606,19.39,1.23,3.62,0.0,69.63
2019,4,28,7.3462,20.69,36.77,2.11,0.0,70.3
2019,4,29,7.9862,21.73,1.88,2.66,0.0,79.7
2019,4,30,7.77,22.62,14.67,3.82,0.01,86.77
2019,5,1,7.0366,23.56,47.71,4.14,0.07,80.91
2019,5,2,6.4457,23.66,36.5,2.76,0.83,84.29
2019,5,3,5.7852,23.89,67.77,2.16,1.29,85.67
2019,5,4,5.1734,24.17,89.66,4.91,9.76,90.97
2019,5,5,6.4685,23.96,62.26,4.45,3.46,85.49
2019,5,6,8.2054,23.22,14.57,2.97,0.08,77.68
2019,5,7,8.0587,24.49,8.2,1.61,0.0,71.44
2019,5,8,5.939,24.63,72.62,4.4,1.49,82.8
2019,5,9,5.6402,24.89,59.57,5.06,7.48,86.2
2019,5,10,4.9402,24.87,84.79,3.03,7.81,88.73
2019,5,11,5.1482,25.2,84.64,3.64,3.65,88.61
2019,5,12,2.251,24.88,84.78,6.27,4.7,92.13
2019,5,13,6.3048,24.64,52.24,4.02,11.06,81.59
2019,5,14,8.1247,22.3,32.94,4.25,0.05,68.24
2019,5,15,8.3746,22.65,3.0,3.28,0.05,63.42
2019,5,16,7.7179,23.76,7.32,2.88,0.0,69.31
2019,5,17,7.3781,25.17,12.89,2.79,0.47,71.49
2019,5,18,7.487,25.41,20.75,3.43,0.02,74.71
2019,5,19,7.5295,25.61,51.1,3.74,0.07,73.22
2019,5,20,7.8334,26.06,18.69,1.86,0.43,73.57
2019,5,21,8.1005,26.04,10.96,3.66,0.0,68.03
2019,5,22,7.9997,27.07,22.27,2.85,0.55,69.78
2019,5,23,7.9639,27.27,16.66,3.8,0.03,68.91
2019,5,24,8.2181,27.27,2.68,2.68,0.0,68.11
2019,5,25,8.0621,28.6,17.87,1.74,0.0,63.28
2019,5,26,7.5518,28.35,16.42,2.57,0.0,68.9
2019,5,27,7.6414,27.77,34.6,3.34,0.0,70.23
2019,5,28,7.957,28.45,33.59,2.98,0.0,66.89
2019,5,29,7.6349,28.1,15.06,3.18,0.0,71.42
2019,5,30,7.8866,27.74,32.67,4.78,0.3,73.93
2019,5,31,6.7723,28.3,50.7,3.84,3.41,76.61
2019,6,1,6.3012,28.5,55.96,3.71,5.43,76.33
2019,6,2,7.2074,28.71,24.42,3.07,4.18,70.06
2019,6,3,7.5389,29.57,33.99,3.52,0.37,67.29
2019,6,4,7.4657,29.6,21.45,3.18,0.94,69.29
2019,6,5,4.6716,28.55,87.31,2.81,5.77,73.05
2019,6,6,1.7957,27.26,94.48,4.34,64.85,83.18
2019,6,7,3.4421,27.91,87.26,6.53,17.4,85.65
2019,6,8,1.9334,27.75,84.22,7.83,12.47,87.58
2019,6,9,5.1374,27.67,85.24,5.51,7.77,84.87
2019,6,10,4.993,27.37,75.25,2.62,5.58,80.47
2019,6,11,7.0198,27.47,45.15,2.54,10.98,80.21
2019,6,12,6.3096,27.11,85.19,4.7,9.72,82.17
2019,6,13,6.2899,26.63,84.56,2.61,1.53,66.05
2019,6,14,8.0422,26.86,38.86,3.14,0.01,62.1
2019,6,15,7.2631,27.48,44.36,3.57,0.91,75.3
2019,6,16,7.806,27.9,17.81,2.02,1.19,72.46
2019,6,17,6.4529,27.64,60.45,3.39,1.89,78.52
2019,6,18,4.5948,27.42,86.76,3.74,11.64,80.78
2019,6,19,6.5078,28.39,58.58,6.61,10.06,81.74
2019,6,20,6.3118,28.79,57.59,7.24,1.49,83.16
2019,6,21,7.0728,28.84,48.69,5.36,0.56,80.59
2019,6,22,6.313,28.58,72.84,3.83,1.12,78.24
2019,6,23,7.831,28.83,18.66,3.36,0.13,71.52
2019,6,24,6.3811,29.01,41.72,4.93,0.88,76.31
2019,6,25,6.8196,29.07,72.49,3.83,2.76,75.83
2019,6,26,6.6874,29.05,75.75,3.9,0.59,69.97
2019,6,27,6.816,28.27,68.3,3.13,0.65,66.11
2019,6,28,5.1041,27.48,74.51,3.1,5.87,74.97
2019,6,29,5.741,27.25,83.71,3.1,4.99,75.66
2019,6,30,6.57,28.05,61.63,2.26,0.85,71.91
2019,7,1,7.3435,28.95,56.85,4.08,0.32,73.41
2019,7,2,6.5424,29.15,59.19,4.4,0.79,77.46
2019,7,3,6.6857,29.22,41.82,3.87,1.22,77.58
2019,7,4,7.1446,29.55,40.36,2.95,2.02,74.93
2019,7,5,6.4462,29.52,67.77,2.35,5.68,74.57
2019,7,6,3.9494,28.59,92.6,3.01,11.52,82.54
2019,7,7,6.9845,29.5,71.15,4.36,10.63,80.44
2019,7,8,6.2602,28.91,88.84,4.96,32.87,81.14
2019,7,9,4.1299,27.77,85.84,4.02,48.48,89.0
